mode=search-third-corruption
first_repair=insert D at 1334
second_repair=replace position 12695 with A
searched_positions=21400-22100
tested_candidates=44163
rank62: valid_utf8_prefix=50990 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=X
rank63: valid_utf8_prefix=50990 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=T
rank64: valid_utf8_prefix=50988 output_bytes=64722 utf8_complete=False third_position=21725 original=H third_char=x
rank65: valid_utf8_prefix=50988 output_bytes=64722 utf8_complete=False third_position=21725 original=H third_char=R
rank66: valid_utf8_prefix=50987 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=d
rank67: valid_utf8_prefix=50987 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=Z
rank68: valid_utf8_prefix=50987 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=V
rank69: valid_utf8_prefix=50987 output_bytes=64659 utf8_complete=False third_position=21734 original=+ third_char=R
rank70: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21748 original=v third_char=H
rank71: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21744 original=p third_char=U
rank72: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=z
rank73: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=y
rank74: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=x
rank75: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=w
rank76: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=9
rank77: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=8
rank78: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=7
rank79: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=6
rank80: valid_utf8_prefix=50985 output_bytes=64657 utf8_complete=False third_position=21740 original=N third_char=5
